id,date,name,type,elapsed_time_seconds,moving_time_seconds,distance_meters,total_elevation_gain_meters,summary_polyline
5744447288,2021-08-05 13:50:08,Cressona Loop,Walk,1534,1476,2260.6 meter,20.0 meter,ox}vFfu_pMCTSTGt@Mr@IbAIn@ElAI`A[bCSnAELCx@Oh@WVAFI@i@b@SB?AMAEKGUGCKMUm@a@u@oAeDCUKa@GiA?i@KmCAuAGiA?QCSCoA@u@Gi@Ck@Bw@Cq@[iACe@Sa@Ye@ISEm@@QFMLKR[JC@@PMd@kAZUZg@f@WPa@RIPMXId@[f@Q^a@x@]XSXGh@UTCFELCHAZDFAZWPIn@AJGXEPBCABAHBHNFVFj@Af@Kb@Wj@s@bDY|@SdBIf@Oh@g@rCEjAKj@El@EpAYrCAv@YzAGj@G~@B_@?KEHG`AAM
5760052382,2021-08-08 12:32:39,Cressona Loop,Run,1970,1776,4162.3 meter,39.9 meter,cx}vF|t_pMGCB?@BMXQHMPATGFG^Ar@UtBMrBMn@MnAGVG`AKd@Gj@KXOXOHo@v@CAABK@QQq@cBu@_Bu@wBI_@GcBJe@GUEgBIq@G{@GoDQkDMcA_@kBo@kB@YHWVUPa@TWXw@FGNITCh@e@HK?EB@HGHAHODc@LQl@]|Ai@HGLUd@SzAg@vAYTGh@YVE^An@OF@LGLHLPYj@K\w@pESdA_@rA{@vEGn@Q`AKpAStAC|AOzAGbAWvBQjBA`@Kj@Cd@Of@Mp@IV?PIr@I`@DTCj@Qd@MJKTY^OFOBECKWa@m@eAwBiAiDCK?cCGwDO{D?cACo@KyAIg@]eB}@oC?a@HQDCNC^_@FKTQHQDYN[h@[R]DCFAJGRk@Za@p@k@jAs@jCu@jB_@nAi@DA?BAAf@Af@IFBBFHl@Cl@G^Kj@Ql@KdAELOx@Uv@}@jE[`BQpBKzB?n@DrAA\@C
5798481169,2021-08-15 13:00:04,Cressona Loop,Run,1824,1738,4103.3 meter,40.3 meter,sx}vFvu_pMGEDD?FCBKAEFG~@k@xDCj@SnBInAMf@Kz@IZEb@_@fA]`@SFG?MGOSMKYYQ[u@eBq@qBAe@Eg@BWCc@@q@IuAKy@MkDEwCKoBMaA]}AQs@a@}@Ao@FMPQHSTU^q@f@k@Rc@f@KFIRa@PQRIHM|Ak@XS\]ZQlBk@bAS^Od@YLCd@A^GLBNJFl@Ix@Q|A_@vAG`@i@tBg@zCg@nBKhACt@Eh@KbC_@jEm@vDAt@_@`EOXER?l@Mz@?\Yj@AHG@MLOFQNO@IEGG_@qAEG[Um@kAu@uBKc@G}ES}G?k@KiCCa@YkBe@cBUo@AKISBa@JOLKFQDGZQZ_A`@k@JUNQZKJOJ]HIx@e@vAc@LMHUFGzC{@j@I^IPIJM`@Op@E^IVJHj@Eb@@?Mb@?PI`@C^U|A]rAETQf@o@~Di@hCQxBCd@@j@?rC@?
5803112745,2021-08-16 13:17:47,Cressona Loop,Run,1011,859,2091.6 meter,20.2 meter,qy}vFrv_pMAVGPKnAQ`ACXKr@CZBJAXMrAY~A@x@ARGPC\Yb@O\C@CP@NGCO@YJGHOBOIEk@Kg@a@c@}@iBe@gBCc@?w@IqD?sAG_A?o@ImB?aBIu@WaBg@cBYq@Oq@CUD_@PQL[PGBG?OAEFg@TO\[`@m@PEl@c@Zi@n@Ir@[LINOLUn@Wj@Or@WvAYRIHEHOPIfAKZANED?Pf@ATDZQRCHAb@CREF?HMRM`@o@fDWx@OnAQt@WnBQv@Cn@OvBEjAKbAKp@ALB`@
5842102264,2021-08-23 17:53:52,Cumberland Valley Rail Trail,Run,2777,2656,6229.8 meter,24.2 meter,cposF|kcxMYIg@[SGSUU@WOc@Ma@Wa@]UEm@Wi@MSASGi@WSAs@OIIc@UWWq@a@eA_@o@O_@Ie@OU_@OQOKyAg@k@Iw@c@YCa@Q}@OUSoA]UM[Ea@MoAw@o@o@s@e@QOQGi@[YYOIUWeAk@OSWQWMu@s@g@_@a@Qu@m@]Mu@s@o@o@MUo@q@m@_@Se@OQ]K}@CUE[@c@Ki@Qs@a@qB{@c@[a@e@m@_@QSQIOQk@c@k@m@o@c@Y]m@e@Ya@[KQMc@c@m@W[Yy@g@QW[WYg@CAAJCIELAC@^FLHEAH@BNDLPNJd@r@VNhAdARX^\Z\fAn@d@n@lAv@TZt@l@\Rv@x@bAl@\\\JjAP~Af@^t@x@p@ZZTLZd@^XJNhAj@`@^LHH@RNh@Z^`@j@Rf@d@d@Rb@Xx@X^Xp@`@hA\XTVH|@j@XF|A~@^Jn@^h@Nd@V~Af@z@^NDTNfA^L@h@Rf@XfA^\Rn@R\D^NRDd@Vr@VfA\ZF\VrAj@l@PnAh@f@NxBt@tA^FFFH?HAHIFM@GKOLg@DICAIEAqB_@_Aa@YQSCQO[KcAQmBIGAY@WNUJ]@m@`@a@`@Ul@ER?`@L~@Dj@^dBb@fAXd@f@p@TLRXPFATBPVd@HND@a@`@BZLXDZj@jAN`@DTDDF?JGD@NVDA`@QXW`@a@HATNLVDCD@LPr@~Ab@t@HFXLN@r@GZ@r@Ef@o@FS?QfAi@NMHMKa@@IHQ^Kd@YHIP[d@a@LYl@kBj@}@FSH]Nc@De@Lg@@MKSDUCCQEg@Y]Ms@OaDcAi@Sa@_@K@
5867998090,2021-08-28 12:49:29,Cumberland Valley Rail Trail ,Run,2686,2469,5785.5 meter,26.1 meter,iwosF~kcxMJK?FP?NL\JFHRJp@L`@P\B|@R\Pl@LVLvAb@ZP~Af@n@Ln@HVVL\?b@Kb@Y`A{@zB@`@Ob@UXQ\Y`@a@`@YTYb@]\Y`@SPYb@STCFAL_@Ti@Nu@BYFo@CMEKGU_@eAoBc@o@c@GM@m@p@G?GEUEKEKKcAuAOYMeAk@qABw@EU{@}AM]a@o@]}@YiAEi@D}@BUCI?_@Xq@LM\Of@q@Fw@Lw@?a@K[W[c@]o@IQKy@QSKa@Im@]YGo@Ye@[UK[Gw@a@e@KSM_@KsAk@c@MaAq@[C]Qg@Q{As@YU]GKEeAq@_@Os@i@iBo@{A_A]a@i@KMG_Aw@c@W[[i@[OU[Q]a@OIa@W[[Wk@MOUM]Kg@Cq@Iq@]oAy@_@i@y@g@qAoAUOSQo@]m@q@s@e@k@m@YQ}@iAy@g@q@y@qCaCSYCO[]KWCAA@?@F@JRZRJPVLb@b@HFHHBFAJNVHHXB^TNXNN\X\^p@d@Z^PLTRZh@VJPTRHRVvAhAb@Pn@t@XLHDRTb@l@dBfAn@Xx@Rt@HJNFPJPp@`@f@f@f@TTT|AbAdAhAPHRPnAj@V\TPj@Rj@\~@`@l@^r@Td@XVH`Al@pB|@hAp@d@Pf@Xp@R~@TZPp@Vx@`@JLt@\d@\PBVKFMHED?@K@??@BAA@GAACKDIH@\DJH?PLVFb@VJ@hA\^PZDRFTNPRPDTLL@RHh@LpAb@f@Jb@P^FTVTLf@JJFH?
5895186777,2021-09-02 14:39:41,Cumberland Rail Trail,Run,2712,2467,6172.7 meter,24.5 meter,ewosFblcxMAEBCFDH\JAF?HBNPt@LRHb@MXQHQDYUQWAg@KWQOAOQKIo@Oe@Wk@O_@Si@Ka@Uc@[UEk@Qk@O_@M_@Y_@OoBo@_@IqAs@y@Wy@]}@[QC]SuAi@]Gq@Ug@IUKc@_@k@Qo@[USmAs@}@]i@Gg@We@a@_@Q}@Yc@Sc@_@a@SwAkAe@MUO]Yc@UWWw@k@o@_@e@i@e@Yk@g@KWIECIIC[k@m@Q[As@Mg@UQOSG_@U_A}@WYsAuAaAk@iAaAaBkAo@i@W[}AaA_@][a@}@o@a@_@QGAYGKb@b@GBPPJ@\f@NPLH`@b@RJR\JHF?HF^XPVx@h@j@l@RNbAjA`An@^^b@j@f@b@LRLJX\JHlAb@n@j@h@VZH^Rt@LX\TPZ\p@l@`@^|@`@`@d@d@Rb@j@\PTFp@\`@XhBfA\LzBrAb@L~BpA`A`@\RpBp@TLVPt@Vx@^xAb@`@Nt@Rb@FTJRBXPZVFDXF\TpAf@VDZLb@J~AhAh@Pr@XdATt@\^Ht@b@z@V`@X`@JPJTJf@J^NhBnAlAf@RVHPN@NH^Lv@b@lA\\P^?H@TEHLPP?H_AfCKNWz@Q`AWn@k@z@a@b@u@x@c@\UTS^q@~@MJ]?aAXY\QF]BIA_@YiAuBCMWa@GCi@QUCO@MDa@ZQXCCCOc@c@IQCWIOAIQ[W_Bi@u@CWKQAG@m@_@q@g@}A_AqBUy@C_ABu@`@q@P_@BCREX@d@Q\Al@D`@Pj@@v@RTBHDRA
5971181604,2021-09-16 14:13:43,Shippensburg University Loop,Run,1499,1480,3680.5 meter,30.4 meter,ixosFrmcxMJ?EDHJDAFIDa@HMdBb@d@PdATh@TZAF@r@ZdA\l@Xr@Rb@PZNNLd@PZPRF\DDF@TETw@~BYfAEVA`@Q`@a@j@OZg@f@m@b@Q^iAvA[HOHELEXIL}BX]Le@EUUg@w@Wi@]m@UWc@OWDYPe@t@[a@QOO_@KKMk@O_@KKUy@[q@i@u@AKH}@AYU_@e@eAQq@_@}@a@kACm@Bu@No@V]RSb@YLCb@?h@Mn@FLEP@d@JHFX@r@LXBx@Rt@\fBb@fA\b@Ln@?z@\VNv@Vn@TTLhA^^Nl@PVBb@XFH?DW`AE\}@vBU`A_@t@U\Uh@q@j@MNQf@Ub@a@XYf@YJUPSb@gBXo@TSAm@QGUSQG]Sk@a@s@MI]K[Fq@\IHCLEBk@u@gAs@GU?YSk@EYe@aAEQMgCW_@a@aA[eAk@{AMoB@SDMDSAIDKb@m@HGJCZ?|@Ov@Fh@BRALBHAPKXFJARJR?
6024706088,2021-09-26 15:27:11,Shippensburg University Loop,Run,1622,1547,3827.0 meter,30.4 meter,}wosF~lcxMXc@R@AAEJ@B^?`@PlCn@TJND`@@tAf@hAl@n@XVDVBb@NjAV\R`@`@@F?VEJY~@CPg@vAIFWF]XQTSj@[hBINOR]j@i@n@OTANWJa@XEHG\GHy@NgAH]ASCMIMMm@eAw@eAs@]UAWHYRY^SAMEM]OQa@{@Um@WY[u@G[@y@AOYy@w@gBu@yBg@sA@oAB[^_AXa@ZWRCL@`AKZ@j@FJDl@HVDHAh@JR?PDZXJFlAXZJzBd@XJr@J\HzBx@bAd@rAb@l@NPJl@RDLBHARKl@q@zBQt@C^K^IR_AtAk@l@a@r@s@l@SZ]TcA~@q@Pw@J]?WCMI}@wA][Sg@QS]Es@JYTQRE@m@YYSa@o@WiAOYASa@s@Ai@Fq@CGa@w@u@yBw@aBWw@EWCs@@]Li@Xm@Zc@VQBAH@PIJCXOTDl@CRBfAf@`ANR?JBRVHBd@HNFl@F^LR?BEMS[EI@SGIAOKM@
6053982567,2021-10-02 13:39:17,Cressona Loop,Walk,4146,3933,5865.9 meter,58.7 meter,my}vFtv_pM?HCFBDMb@ETA\YbCA\UnBO~@ARIdAG^K`@Ev@]l@c@V[f@GG?GG[E??CG?B@@EDCE?EDSMYs@Wa@K_@u@iBUo@G}AFk@AiBOaE@k@EY@[GgAG[@k@IqAa@aBGk@Qi@Ug@Ms@Ak@BIB?Ri@TUDWJ[t@k@TWNOVQLAPKDIDa@NSNo@BGPILMl@ST?n@Mh@GfAWPK\E~@Yf@Wj@CZEF@NCHDB\A|@Sn@@AyAxG?TCV@d@GTE?EEBB?FGL?\Ir@k@pCCr@Ep@EXGpAO|AG\Ih@?VI`@C`@Ap@QlAEr@MdAARQjACx@Ml@Gx@Up@?n@ELOPGPIBCDQBOJU@GCOa@QQ[{@_@o@GYWi@YeAQYCMKcAAgB@QCg@?m@I{BCaB?_@G_A?cAEm@[cCY}A[u@EGEAESGK?KDIHETADCN_@NMHEJ_@Ve@b@YH]FMd@OHIFOHg@\}@v@q@f@Mj@@bA[|@QXMZERKTCZMLILEfBSDD@FIpBYbAM~@e@rBKr@W`AGd@?XE\q@tDC`@OxAMh@@r@GnAY~BKh@C~AKl@Eb@EP@`@ITGp@Or@Gh@O~@GbAK`@CV@^KTQVEBGCGPWRSFIAMm@OOOa@w@{Ag@{AOWS_AGwA@sBE_BAcCEeB?w@KiBIy@Qw@OkAQa@c@q@GY?e@DMJMPIP]HGPGHa@Ra@FEXGLGDIDa@LGHAHBPNFNH\JPR`AB`@Jj@N`@PbAJV?BBDHB\@PKN?hAOP?n@IZ?\CFBBDBJ@r@M\Cr@Id@EFAbAOt@@^Kd@@RGp@
